Drive_bh:7063 income:521.25 outcome:128.88 profit:392.37
Drive_bh:7064 income:978.43 outcome:203.07 profit:775.37
Drive_bh:7065 income:684.17 outcome:321.94 profit:362.24
Drive_bh:7066 income:520.52 outcome:138.58 profit:381.93
Drive_bh:7067 income:714.68 outcome:201.43 profit:513.26
Drive_bh:7068 income:1715.67 outcome:410.54 profit:1305.13
Drive_bh:7069 income:928.14 outcome:224.22 profit:703.92
Drive_bh:7070 income:212.77 outcome:96.64 profit:116.13
Drive_bh:7071 income:224.51 outcome:191.02 profit:33.49
Drive_bh:7072 income:882.20 outcome:202.22 profit:679.98
Drive_bh:7073 income:496.97 outcome:114.31 profit:382.66
Drive_bh:7074 income:660.83 outcome:232.78 profit:428.05
Drive_bh:7075 income:1248.20 outcome:293.06 profit:955.14
Drive_bh:7076 income:579.43 outcome:120.44 profit:458.98
Drive_bh:7077 income:1116.67 outcome:248.26 profit:868.40
Drive_bh:7078 income:850.17 outcome:193.88 profit:656.29
Drive_bh:7079 income:1051.86 outcome:260.89 profit:790.97
Drive_bh:7080 income:1460.39 outcome:350.56 profit:1109.84
Drive_bh:7081 income:1152.93 outcome:282.30 profit:870.63
Drive_bh:7082 income:915.55 outcome:182.17 profit:733.38
Drive_bh:7083 income:638.54 outcome:134.58 profit:503.97
Drive_bh:7084 income:489.64 outcome:148.54 profit:341.10
Drive_bh:7085 income:1209.73 outcome:289.33 profit:920.40
Drive_bh:7086 income:1066.76 outcome:211.08 profit:855.68
Drive_bh:7087 income:915.84 outcome:189.05 profit:726.79
Drive_bh:7088 income:758.42 outcome:160.98 profit:597.45
Drive_bh:7089 income:697.33 outcome:136.82 profit:560.52
Drive_bh:7090 income:1058.98 outcome:232.30 profit:826.68
Drive_bh:7091 income:395.78 outcome:80.67 profit:315.11
Drive_bh:7092 income:745.87 outcome:134.24 profit:611.63
Drive_bh:7093 income:440.52 outcome:114.89 profit:325.63
Drive_bh:7094 income:0.00 outcome:52.01 profit:-52.01
Drive_bh:7095 income:1166.73 outcome:242.92 profit:923.81
Drive_bh:7096 income:1057.17 outcome:265.66 profit:791.52
Drive_bh:7097 income:897.49 outcome:195.60 profit:701.89
Drive_bh:7098 income:1386.36 outcome:295.95 profit:1090.41
Drive_bh:7099 income:725.55 outcome:193.10 profit:532.45
Drive_bh:7100 income:763.60 outcome:177.63 profit:585.96
Drive_bh:7101 income:1320.03 outcome:341.74 profit:978.29
Drive_bh:7102 income:1042.63 outcome:224.95 profit:817.68
Drive_bh:7103 income:928.87 outcome:228.79 profit:700.07
Drive_bh:7104 income:719.62 outcome:211.54 profit:508.08
Drive_bh:7105 income:896.75 outcome:167.89 profit:728.86
Drive_bh:7106 income:947.72 outcome:177.62 profit:770.10
Drive_bh:7107 income:1098.03 outcome:248.12 profit:849.91
Drive_bh:7108 income:910.26 outcome:239.38 profit:670.88
Drive_bh:7109 income:925.02 outcome:208.77 profit:716.24
Drive_bh:7110 income:1395.39 outcome:366.16 profit:1029.23
Drive_bh:7111 income:937.57 outcome:183.29 profit:754.28
Drive_bh:7112 income:748.93 outcome:207.05 profit:541.88
Drive_bh:7113 income:846.83 outcome:198.07 profit:648.76
Drive_bh:7114 income:918.70 outcome:202.09 profit:716.60
Drive_bh:7115 income:973.99 outcome:240.34 profit:733.65
Drive_bh:7116 income:878.82 outcome:223.44 profit:655.38
Drive_bh:7117 income:814.09 outcome:189.43 profit:624.67
Drive_bh:7118 income:869.94 outcome:162.13 profit:707.81
Drive_bh:7119 income:618.43 outcome:130.69 profit:487.74
Drive_bh:7120 income:533.38 outcome:136.16 profit:397.22
Drive_bh:7121 income:1156.19 outcome:217.50 profit:938.69
Drive_bh:7122 income:1022.24 outcome:228.88 profit:793.36
Drive_bh:7123 income:1025.45 outcome:276.94 profit:748.51
Drive_bh:7124 income:762.68 outcome:195.53 profit:567.15
Drive_bh:7125 income:927.63 outcome:235.55 profit:692.07
Drive_bh:7126 income:948.13 outcome:253.79 profit:694.34
Drive_bh:7127 income:511.37 outcome:113.00 profit:398.38
Drive_bh:7128 income:1053.14 outcome:238.57 profit:814.57
Drive_bh:7129 income:1040.92 outcome:215.39 profit:825.53
Drive_bh:7130 income:1205.78 outcome:251.34 profit:954.44
Drive_bh:7131 income:545.47 outcome:130.63 profit:414.85
Drive_bh:7132 income:794.22 outcome:172.93 profit:621.29
Drive_bh:7133 income:189.24 outcome:43.49 profit:145.76
Drive_bh:7134 income:1354.89 outcome:268.83 profit:1086.06
Drive_bh:7135 income:1071.00 outcome:228.13 profit:842.87
Drive_bh:7136 income:541.35 outcome:109.47 profit:431.88
Drive_bh:7137 income:1349.52 outcome:316.54 profit:1032.98
Drive_bh:7138 income:983.01 outcome:203.04 profit:779.97
Drive_bh:7139 income:775.57 outcome:182.92 profit:592.64
Drive_bh:7140 income:997.56 outcome:220.20 profit:777.35
Drive_bh:7141 income:761.12 outcome:213.37 profit:547.75
Drive_bh:7142 income:459.50 outcome:142.86 profit:316.64
Drive_bh:7143 income:474.85 outcome:147.08 profit:327.77
Drive_bh:7144 income:387.14 outcome:114.24 profit:272.89
Drive_bh:7145 income:1110.13 outcome:240.30 profit:869.84
Drive_bh:7146 income:321.80 outcome:104.92 profit:216.88
Drive_bh:7147 income:1030.13 outcome:289.76 profit:740.37
Drive_bh:7148 income:706.12 outcome:165.99 profit:540.13
Drive_bh:7149 income:1120.33 outcome:211.81 profit:908.52
Drive_bh:7150 income:1481.93 outcome:317.12 profit:1164.81
Drive_bh:7151 income:132.49 outcome:41.12 profit:91.37
Drive_bh:7152 income:805.14 outcome:159.48 profit:645.66
Drive_bh:7153 income:1186.81 outcome:299.81 profit:887.00
Drive_bh:7154 income:1052.48 outcome:209.35 profit:843.14
Drive_bh:7155 income:545.10 outcome:190.26 profit:354.84
Drive_bh:7156 income:326.57 outcome:114.39 profit:212.17
Drive_bh:7157 income:725.55 outcome:132.01 profit:593.54
Drive_bh:7158 income:1080.37 outcome:264.83 profit:815.53
Drive_bh:7159 income:894.52 outcome:202.09 profit:692.43
Drive_bh:7160 income:913.17 outcome:203.70 profit:709.47
Drive_bh:7161 income:1103.28 outcome:275.28 profit:828.00
Drive_bh:7162 income:1315.10 outcome:273.37 profit:1041.73
Drive_bh:7163 income:941.13 outcome:172.35 profit:768.79
Drive_bh:7164 income:741.36 outcome:157.56 profit:583.80
Drive_bh:7165 income:1083.12 outcome:247.14 profit:835.98
Drive_bh:7166 income:1050.82 outcome:228.83 profit:821.99
Drive_bh:7167 income:1119.98 outcome:269.92 profit:850.07
Drive_bh:7168 income:1208.93 outcome:282.29 profit:926.63
Drive_bh:7169 income:254.56 outcome:64.68 profit:189.89
Drive_bh:7170 income:764.19 outcome:197.02 profit:567.17
Drive_bh:7171 income:876.14 outcome:170.62 profit:705.53
Drive_bh:7172 income:798.32 outcome:162.04 profit:636.28
Drive_bh:7173 income:902.83 outcome:223.07 profit:679.76
Drive_bh:7174 income:879.38 outcome:153.90 profit:725.48
Drive_bh:7175 income:1075.48 outcome:250.36 profit:825.12
Drive_bh:7176 income:632.79 outcome:162.74 profit:470.04
Drive_bh:7177 income:729.32 outcome:201.99 profit:527.34
Drive_bh:7178 income:870.81 outcome:159.06 profit:711.75
Drive_bh:7179 income:998.47 outcome:198.05 profit:800.41
Drive_bh:7180 income:1914.52 outcome:485.13 profit:1429.38
Drive_bh:7181 income:1281.18 outcome:307.98 profit:973.21
Drive_bh:7182 income:589.95 outcome:166.05 profit:423.90
Drive_bh:7183 income:1139.10 outcome:264.57 profit:874.54
Drive_bh:7184 income:1047.51 outcome:236.52 profit:810.99
Drive_bh:7185 income:963.05 outcome:227.77 profit:735.28
Drive_bh:7186 income:866.23 outcome:209.45 profit:656.77
Drive_bh:7187 income:848.25 outcome:210.44 profit:637.81
Drive_bh:7188 income:866.94 outcome:218.22 profit:648.73
Drive_bh:7189 income:1424.17 outcome:313.30 profit:1110.87
Drive_bh:7190 income:798.96 outcome:214.26 profit:584.70
Drive_bh:7191 income:937.85 outcome:212.73 profit:725.11
Drive_bh:7192 income:963.85 outcome:226.45 profit:737.40
Drive_bh:7193 income:967.53 outcome:223.81 profit:743.72
Drive_bh:7194 income:571.75 outcome:137.89 profit:433.86
Drive_bh:7195 income:1161.27 outcome:242.19 profit:919.08
Drive_bh:7196 income:652.07 outcome:158.96 profit:493.11
Drive_bh:7197 income:835.16 outcome:248.87 profit:586.28
Drive_bh:7198 income:1007.33 outcome:229.13 profit:778.20
Drive_bh:7199 income:852.21 outcome:231.67 profit:620.54
Drive_bh:7200 income:879.62 outcome:169.19 profit:710.43
Drive_bh:7201 income:1024.83 outcome:209.54 profit:815.29
Drive_bh:7202 income:1079.86 outcome:216.18 profit:863.68
Drive_bh:7203 income:352.35 outcome:92.87 profit:259.49
Drive_bh:7204 income:857.55 outcome:176.57 profit:680.98
Drive_bh:7205 income:1323.63 outcome:332.33 profit:991.30
Drive_bh:7206 income:1089.09 outcome:238.35 profit:850.74
Drive_bh:7207 income:1102.93 outcome:281.00 profit:821.92
Drive_bh:7208 income:952.44 outcome:221.78 profit:730.67
Drive_bh:7209 income:1233.79 outcome:271.76 profit:962.03
Drive_bh:7210 income:1072.13 outcome:225.63 profit:846.50
Drive_bh:7211 income:496.92 outcome:129.46 profit:367.47
Drive_bh:7212 income:1435.33 outcome:319.19 profit:1116.13
Drive_bh:7213 income:850.34 outcome:202.01 profit:648.34
Drive_bh:7214 income:686.78 outcome:150.05 profit:536.73
Drive_bh:7215 income:749.12 outcome:165.58 profit:583.54
Drive_bh:7216 income:445.59 outcome:135.60 profit:309.99
Drive_bh:7217 income:1074.63 outcome:254.14 profit:820.49
Drive_bh:7218 income:951.82 outcome:183.60 profit:768.22
Drive_bh:7219 income:737.14 outcome:216.85 profit:520.28
Drive_bh:7220 income:1074.62 outcome:263.03 profit:811.59
Drive_bh:7221 income:1153.59 outcome:269.01 profit:884.58
Drive_bh:7222 income:1231.56 outcome:301.75 profit:929.81
Drive_bh:7223 income:953.68 outcome:219.86 profit:733.82
Drive_bh:7224 income:519.83 outcome:188.32 profit:331.51
Drive_bh:7225 income:556.66 outcome:135.34 profit:421.32
Drive_bh:7226 income:1202.48 outcome:266.50 profit:935.98
Drive_bh:7227 income:898.45 outcome:282.53 profit:615.92
Drive_bh:7228 income:1463.65 outcome:324.11 profit:1139.54
Drive_bh:7229 income:97.53 outcome:27.76 profit:69.77
Drive_bh:7230 income:1026.14 outcome:305.15 profit:720.99
Drive_bh:7231 income:976.05 outcome:195.43 profit:780.62
Drive_bh:7232 income:594.39 outcome:200.53 profit:393.86
Drive_bh:7233 income:1361.38 outcome:342.35 profit:1019.03
Drive_bh:7234 income:1540.62 outcome:332.15 profit:1208.47
Drive_bh:7235 income:989.88 outcome:213.87 profit:776.01
Drive_bh:7236 income:931.06 outcome:212.11 profit:718.95
Drive_bh:7237 income:1438.28 outcome:342.40 profit:1095.88
Drive_bh:7238 income:1257.59 outcome:319.24 profit:938.35
Drive_bh:7239 income:626.07 outcome:167.56 profit:458.51
Drive_bh:7240 income:1011.63 outcome:187.81 profit:823.83
Drive_bh:7241 income:1276.75 outcome:272.71 profit:1004.04
Drive_bh:7242 income:1173.01 outcome:267.06 profit:905.95
Drive_bh:7243 income:987.78 outcome:246.81 profit:740.97
Drive_bh:7244 income:908.71 outcome:223.22 profit:685.49
Drive_bh:7245 income:1066.66 outcome:229.28 profit:837.37
Drive_bh:7246 income:1473.58 outcome:400.38 profit:1073.20
Drive_bh:7247 income:1093.08 outcome:218.25 profit:874.83
Drive_bh:7248 income:1347.96 outcome:355.75 profit:992.21
Drive_bh:7249 income:663.40 outcome:142.38 profit:521.02
