  Drive_bh,income,outcome,profit
8551,633.91,203.64,430.28
8552,1137.38,304,833.39
8553,1499.65,404.28,1095.37
8554,963.8,196.96,766.84
8555,1035.53,271.3,764.24
8556,685.07,257.75,427.33
8557,323.91,131.95,191.96
8558,951.91,251.01,700.9
8559,1050.96,280,770.95
8560,1134.62,263.84,870.78
8561,942.62,248.62,694
8562,1185,318.54,866.46
8563,336.17,89.37,246.81
8564,789.25,232.57,556.68
8565,564.1,179.38,384.72
8566,843.18,247.95,595.22
8567,1140.1,271.8,868.3
8568,0,188.82,-188.82
8569,790.65,198.32,592.33
8570,1407.8,369.74,1038.06
8571,160.47,80.86,79.6
8572,98.73,60.62,38.11
8573,1021.11,193.97,827.14
8574,1093.11,235.85,857.26
8575,852.81,259.68,593.13
8576,945.7,222.12,723.58
8577,819.13,169.11,650.02
8578,1119.07,209.1,909.97
8579,1222.93,318.76,904.17
8580,1223.88,262.35,961.52
8581,1155.68,267.62,888.06
8582,1413.37,319.49,1093.88
8583,980.66,250.5,730.16
8584,777.08,186.93,590.14
8585,1143.98,265.34,878.63
8586,1119.37,299.72,819.64
8587,807.85,211.35,596.5
8588,497.9,166.36,331.54
8589,889.24,210.73,678.51
8590,1342.42,296.05,1046.36
8591,921.02,304.93,616.09
8592,940.04,227.44,712.6
8593,1091.83,285.85,805.98
8594,1143.81,282.24,861.57
8595,1085.56,230.16,855.39
8596,1620.82,413.84,1206.98
8597,387.93,168.62,219.31
8598,226.75,78,148.75
8599,1325.24,276.37,1048.86
8600,1127.19,235.14,892.05
8601,1453.4,296.61,1156.79
8602,876.89,182.35,694.55
8603,691.66,144.41,547.24
8604,1682.99,338.31,1344.69
8605,239.05,249.47,-10.42
8606,1342.14,261.47,1080.67
8607,1221.77,258.43,963.34
8608,893.09,300.37,592.71
8609,796.53,244.15,552.39
8610,932.5,220.99,711.51
8611,514.81,139.57,375.24
8612,312.56,89.3,223.26
8613,1409.08,354.98,1054.1
8614,929.01,179.83,749.18
8615,1037.2,291.3,745.9
8616,1554.4,372.94,1181.46
8617,689.2,270.87,418.33
8618,1015.89,233.75,782.14
8619,855.59,221.89,633.7
8620,257.78,145.69,112.09
8621,1432.42,340.5,1091.92
8622,553.25,259.82,293.43
8623,801.56,190.84,610.71
8624,1121.33,310.1,811.23
8625,1051.25,275.26,775.99
8626,872.31,198.96,673.35
8627,717.68,149.03,568.65
8628,1080.68,298.9,781.78
8629,806.61,203.48,603.13
8630,1092.92,280.2,812.71
8631,1012.53,246.25,766.28
8632,428.76,119.22,309.54
8633,782.82,188.33,594.48
8634,1023.4,328.74,694.65
8635,1086.84,308.7,778.14
