0-100,389,202,110,46
100-200,174,143,25,19
200-300,128,114,36,6
300-400,423,83,25,26
400-500,377,58,15,24
500-600,851,142,48,30
600-700,428,469,450,310
700-800,1102,1441,1489,1542
800-900,1034,1741,2050,2264
900-1000,709,843,1071,1154
1000-1100,268,326,430,387
1100-1200,0,223,97,42
1200-1300,0,72,25,8
>=1300,0,26,12,25
